bn:00000013n;Million;million_209.35;number_146.31;mathematics_61.3;long scale_53.31;real number_50.43;numeral_50.35;short scale_50.12;digit_42.17;bally_41.77;millionaire_41.31;penguin_41.11;markov_40.61;complex number_38.37;infinity_36.79
bn:00000181n;Aardvark;lc_690.09;aardvark_613.69;genus_604.17;ant_403.14;termite_380.46;mammal_263.69;specie_199.98;subfamily_187.51;lr\/lc_187.44;nest_184.44;cerebus_168.21;dugong_154.53;animal_145.58;lr\/cd_131.64
bn:00000203n;Abacus;calculator_664.78;abacus_596.26;digit_422.69;bead_278.72;machine_263.13;number_220.1;multiplication_215.68;decimal_209.14;suanpan_193.75;use_182.49;subtraction_170.32;calculation_168.22;soroban_167.75;algorithm_164.31
bn:00000205n;Abalone;abalone_1496.55;shell_857.45;haliotis_570.0;gastropod_218.67;haliotidae_171.28;ammolite_128.51;nacre_113.74;species_108.94;marine_108.74;aquaculture_99.91;spire_94.98;spiral_91.65;sea snail_86.42;columellar_85.45
bn:00000213n;Desertion;soldier_479.19;army_455.72;desertion_394.32;war_377.12;soviet_229.91;deserter_228.58;force_197.77;troop_177.96;afghan_167.4;slovik_160.1;military_153.78;bergdahl_139.66;mujahideen_120.41;afghanistan_119.81
bn:00000227n;Slaughterhouse;meat_1268.8;slaughter_1260.43;animal_1097.29;slaughterhouse_408.82;cattle_380.9;cow_365.75;horse_349.77;food_233.15;beef_228.07;eat_178.71;consumption_165.4;kosher_152.03;abattoir_129.97;ban_124.32
bn:00000228n;Abaya;woman_497.72;wear_347.34;saudi_321.83;saudi arabia_292.09;chaplain_163.8;bahrain_145.03;religious_140.5;hijab_132.35;abaya_132.27;arab_118.83;sex segregation_113.98;muslim_106.11;dress_106.0;oman_103.02
bn:00000233n;Abbess;abbess_714.1;nun_475.81;abbey_456.47;monastery_312.89;abbot_253.72;brigit_231.36;abelard_154.83;brigid_143.59;convent_137.32;heloise_125.05;saint_108.44;héloïse_101.35;crosier_99.0;bishop_93.81
bn:00000234n;Abbey;abbey_1825.95;monastery_1267.1;monk_783.11;abbot_627.87;church_313.94;cloister_262.54;monastic_256.93;benedictine_205.41;cistercian_188.92;building_153.5;refectory_128.4;century_118.5;ruin_80.58;house_80.3
bn:00000239n;Abbreviation;abbreviation_721.63;word_609.96;apostrophe_569.77;letter_509.16;acronym_331.18;use_330.9;vowel_241.13;e.g._210.71;example_205.67;consonant_170.08;full stop_164.41;language_153.05;contraction_145.42;spelling_136.1
bn:00000246n;Abdication;king_510.21;monarch_454.55;monarchy_401.37;throne_266.88;abdicate_265.0;domitian_252.26;emperor_245.92;abdication_216.62;reign_160.08;succession_141.53;juan carlos_133.47;queen_131.19;qianlong_129.8;depose_124.2
bn:00000249n;Abdomen;abdomen_534.65;muscle_288.56;abdominal_234.88;pelvis_124.33;abdominal wall_110.5;spider_97.06;thorax_91.78;organ_91.07;anterior_86.19;rectus_72.76;pelvic_65.99;pectoralis major_63.89;posterior_58.98;spine_54.01
bn:00000279n;Okra;dish_1078.15;rice_700.83;cuisine_580.75;okra_503.55;meat_481.58;vegetable_439.22;soup_389.7;cook_382.32;spice_304.65;chicken_289.75;eat_284.48;stew_280.29;fruit_241.09;food_239.84
bn:00000329n;Weaning;breastfeed_948.75;milk_787.03;infant_530.74;lemur_497.62;breast_345.0;baby_276.47;mother_217.07;primate_194.36;formula_192.61;wean_188.18;slow loris_184.8;animal_175.13;food_172.99;polar bear_168.5
bn:00000330n;Ablation;laser_706.34;ablation_501.56;hysterectomy_337.94;procedure_331.45;vasectomy_327.09;surgery_325.14;patient_268.22;tissue_216.27;incision_184.46;surgical_171.08;oophorectomy_150.12;removal_144.62;tonsillectomy_143.85;glacier_141.44
bn:00000342n;Denial;abuse_372.3;freud_358.94;denial_260.23;behavior_209.99;rape_198.42;victim_182.7;domestic violence_133.92;psychological_112.8;narcissism_101.92;person_101.65;attitude_93.62;sexual_90.25;violence_88.13;stress_83.45
bn:00000343n;Self-denial;suicide_44.25;moral_30.61;self-denial_29.06;altruistic_16.98;character_15.29;terrorism_13.48;self-sacrifice_13.45;trait_12.88;crown_11.07;virtue_10.5;religious_9.54;plato_6.96;religion_6.9;commit suicide_6.45
bn:00000356n;Home;home_376.03;homeless_284.13;condominium_253.05;house_224.3;dwelling_194.15;houseboat_139.68;homelessness_135.55;housing_115.84;yurt_111.16;street child_89.03;building_88.96;apartment_85.08;curtilage_78.55;shelter_70.12
bn:00000359n;Abolitionism;slave_4152.75;slavery_3234.0;slave trade_846.71;enslave_448.81;abolitionist_447.65;african_437.92;abolition_346.59;abolish_343.17;anti-slavery_303.17;free_292.33;quaker_214.41;northup_212.09;emancipation_200.34;black_181.51
bn:00000362n;Yeti;yeti_1425.41;creature_256.05;bigfoot_168.93;tintin_137.12;abominable snowman_128.82;expedition_128.38;hillary_103.24;everest_102.42;yowie_91.43;hergé_89.85;messner_86.48;himalayas_85.02;snow_81.81;kangchenjunga_81.49
bn:00000372n;Abortion;abortion_6611.08;pregnancy_1260.78;woman_910.92;fetus_830.34;miscarriage_349.51;law_251.8;legal_216.37;week_195.86;pregnant_193.15;unintended_177.98;illegal_172.24;induce_166.06;procedure_163.64;fetal_161.93
bn:00000374n;Mifepristone;abortion_3357.71;mifepristone_558.26;pregnancy_546.6;woman_466.28;progesterone_338.45;birth control_333.14;misoprostol_270.56;preterm_194.08;contraceptive_182.39;fetus_177.12;contraception_172.72;medical_172.63;fibroid_163.78;pro-life_147.08
bn:00000383n;Abrasive;abrasive_969.62;diamond_864.65;material_389.73;use_299.89;surface_240.29;workpiece_216.16;ceramic_214.62;cut_208.37;grind_204.31;blade_196.72;hardness_174.51;grit_162.87;tungsten_152.01;metal_148.43
bn:00000397n;Catharsis;aristotle_412.59;tragedy_399.89;catharsis_213.27;play therapy_134.23;poetics_125.7;emotion_117.46;therapy_109.54;dianetics_87.78;hypnosis_76.3;experience_75.63;emotional_74.82;mimesis_69.83;attachment_62.41;therapist_61.83
bn:00000398n;Abridgement;book_206.32;horus_130.18;heresy_105.51;prescott_89.1;abridge_84.26;discworld_76.34;unabridged_72.34;edition_68.53;abridgement_66.39;parody_57.29;audiobooks_56.91;dictionary_56.13;novel_55.06;catch-22_53.58
bn:00000401n;Repeal;act_362.75;repeal_343.31;constitution_299.23;law_252.29;singapore_201.43;statute law_195.12;motion_174.21;legislation_146.01;amendment_138.62;court_131.96;statute_130.62;constitutional_106.07;provision_102.62;revision_92.16
bn:00000418n;Abscess;abscess_1235.74;infection_1029.93;antibiotic_373.26;mrsa_326.01;symptom_317.86;disease_316.43;bacterium_271.12;treatment_265.31;aureus_216.29;crohn_211.36;patient_205.23;pain_202.59;pus_191.82;inflammation_173.83
bn:00000435n;Absenteeism;job_447.41;employee_387.16;organizational_215.6;satisfaction_211.77;absenteeism_207.44;workplace_202.84;presenteeism_196.93;sexual harassment_184.52;behavior_156.78;psychopath_151.45;psychopathy_138.75;organization_123.55;emotion_102.23;stress_98.85
bn:00000436n;Absent-mindedness;absent-mindedness_94.75;mind-wandering_83.05;task_50.46;absorption_50.37;error_48.19;attention_37.52;capra_36.31;memory_34.04;wonderful_32.54;george_30.21;thought_26.95;absent-minded_26.88;multitask_25.54;lapse_22.93
bn:00000437n;Absinthe;absinthe_2195.97;alcohol_339.63;wormwood_252.69;drink_252.03;vodka_233.85;thujone_229.42;moonshine_171.69;alcoholic beverage_160.66;flavor_144.3;liquor_131.69;pernod_131.08;distil_129.71;liqueur_123.4;distillery_122.88
bn:00000445n;Majority;vote_1519.99;majority_618.61;voter_571.17;referendum_530.6;candidate_481.29;election_460.29;amendment_453.47;voting_423.69;constitution_378.49;senate_281.42;ballot_265.3;quorum_239.15;minority_202.1;garrard_173.99
bn:00000457n;Absolution;sin_640.19;church_546.78;absolution_525.71;god_416.51;priest_389.83;sacrament_377.44;confession_354.31;prayer_272.51;luther_264.64;christ_257.45;salvation_222.84;liturgy_219.71;indulgence_213.08;penitent_211.1
bn:00000459n;Tyrant;stalin_2205.17;soviet_932.18;trotsky_812.59;carr_621.55;soviet union_621.11;lenin_497.17;communist_456.15;zhukov_370.42;stalinism_327.33;dictatorship_312.26;beria_300.43;communism_278.21;totalitarian_260.94;bolshevik_259.39
bn:00000464n;Absorbance;wavelength_376.43;absorbance_355.22;sample_289.7;light_281.19;radiation_241.92;uv_208.0;concentration_206.62;absorption_199.25;nm_166.24;laser_164.5;use_159.79;measure_153.96;logarithm_141.45;molecule_131.86
bn:00000487n;Abstinence;abstinence_799.0;fast_619.96;sex_252.93;celibacy_238.92;abstain_237.11;abstinence-only_220.65;alcohol_209.1;meat_142.24;lent_137.45;temperance_133.03;sexual_128.43;eat_123.7;day_101.99;food_101.31
bn:00000495n;Abstraction;abstraction_486.99;concept_483.25;abstract_363.07;object_334.06;kant_292.78;theory_235.72;husserl_216.39;piaget_207.17;mask_189.52;whitehead_160.72;idea_158.4;painting_150.85;philosophy_116.41;example_107.1
bn:00000505n;Absurdity;absurdity_265.52;satire_124.72;humor_121.6;nonsense_114.87;ridiculous_103.71;absurd_70.95;trivialism_63.54;argument_58.05;theory_54.63;incongruity_52.46;reasoning_47.97;fideism_45.87;use_37.74;laughter_36.77
bn:00000520n;Abuse;abuse_2410.4;child_611.98;victim_556.5;domestic violence_556.08;bully_481.62;sexual abuse_442.4;child abuse_379.22;behavior_319.5;violence_287.35;neglect_268.93;physical_232.71;emotional_216.08;sexual harassment_209.37;abuser_199.56
bn:00000527n;Abutment;bridge_2863.74;abutment_509.21;span_235.95;covered bridge_197.54;arch_142.07;construction_110.79;build_98.71;scour_87.48;pier_82.92;concrete_81.99;waibaidu_79.9;traffic_76.14;truss_71.71;battersea_62.91
bn:00000541n;Acacia;acacia_1282.85;wattle_969.56;tree_476.89;subsp_244.77;specie_198.11;var_149.11;phyllode_125.33;mulga_118.18;seed_113.28;flower_105.32;plant_93.59;species_87.84;bark_86.82;australia_84.83
bn:00000550n;Academia;academic_782.35;university_388.78;gown_223.68;research_216.76;student_162.02;degree_154.9;professor_150.95;doctorate_149.55;institution_117.87;academic freedom_111.95;cheating_111.69;dcu_105.43;lecturer_105.06;academia_87.9
bn:00000563n;Academician;academy_516.26;academician_401.82;scientific_207.3;sciences_188.06;ambartsumian_130.37;euler_108.54;science_102.12;khalilov_91.68;university_88.76;institute_81.49;russian_69.8;samoilenko_65.26;scientist_64.77;department_62.76
bn:00000568n;Academy;academy_1200.72;accademia_248.47;school_156.22;académie_132.78;fellows_100.44;library_99.5;université_93.55;found_88.38;society_87.04;royal academy_85.39;century_69.3;royal society_68.99;science_67.55;institution_65.67
bn:00000590n;Wahoo;wahoo_535.99;fish_395.78;tuna_290.02;fishing_274.52;blue marlin_247.88;mackerel_212.25;angler_133.6;yellowfin tuna_110.66;black marlin_97.97;catch_97.97;fly_91.15;marlin_89.26;tunny_88.59;pempek_86.73
bn:00000630n;Acceleration;acceleration_1965.37;velocity_1261.79;force_1087.49;motion_985.66;vector_901.26;object_847.27;mass_604.76;particle_522.46;orbit_502.08;equation_448.13;speed_439.99;gravity_422.88;frame_375.59;newton_374.68
bn:00000633n;Throttle;engine_1825.81;throttle_840.79;valve_770.46;fuel_698.97;carburetor_490.91;control_451.1;speed_308.28;cylinder_265.85;pressure_234.52;brake_217.44;gear_205.53;vehicle_203.07;clutch_192.96;system_188.65
bn:00000634n;Accelerant;enzyme_368.68;concrete_248.44;willingham_181.89;accelerant_136.56;vulcanization_134.23;fire_99.89;substrate_99.49;reaction_95.3;epoxy resin_93.0;epoxy_90.87;rubber_89.53;cure_75.98;accelerator_75.94;catalyze_52.09
bn:00000637n;Accelerometer;accelerometer_769.03;acceleration_625.6;device_447.34;pendulum_392.49;sensor_348.72;measure_278.91;android_272.39;gravity_271.84;vibration_227.33;magnetometer_224.67;use_216.78;gyroscope_214.14;motion_167.09;system_165.88
bn:00000640n;Dialect;dialect_3222.76;language_2025.88;speak_757.87;standard_558.07;speaker_487.11;variety_420.33;english_295.1;linguistic_289.77;arabic_279.95;german_256.07;aave_244.47;vowel_238.36;word_218.48;pronunciation_202.66
bn:00000648n;Acceptance;attitude_247.65;contract_210.58;acceptance_185.54;self-esteem_158.48;insurer_106.45;insurance_98.5;insured_96.71;mindfulness_90.2;polyamory_74.0;person_68.77;tcis_64.58;term_61.93;polyamorous_59.74;warranty_53.34
bn:00000670n;Accessibility;disability_1305.39;accessibility_903.4;reliability_389.16;disabled_298.35;accessible_274.97;wheelchair_228.46;availability_226.6;system_157.43;access_153.41;assistive_145.63;treviranus_141.91;web_135.81;impairment_129.27;disabilities_120.98
bn:00000690n;Accident;accident_634.12;injury_210.49;tram_175.53;safety_132.2;cause_123.67;kill_120.36;injure_115.13;bus_103.65;brachial plexus_82.51;abuse_77.38;explosion_77.32;plunge_68.51;people_66.99;insurance_64.27
bn:00000694n;Injury;injury_1785.89;wound_475.93;trauma_302.19;concussion_267.86;patient_216.58;nerve_208.66;fracture_183.86;knee_169.64;cause_158.32;spinal cord_157.0;healing_152.53;brain_151.13;brachial plexus_148.3;tissue_140.86
bn:00000697n;Goshawk;bird_2391.85;specie_1303.64;prey_1063.17;nest_930.8;passeriformes_846.71;family_658.66;owl_650.94;order_582.12;great horned owl_545.98;setophaga_518.23;eagle_477.89;passerine_466.19;hawk_435.29;spotted owl_435.25
bn:00000702n;Acclimatization;temperature_174.31;acclimation_151.7;organism_128.26;adaptation_96.24;phalaenopsis_95.91;hypoxia_86.92;acclimatization_86.63;oxygen_86.33;increase_79.54;climate change_72.32;afps_65.26;acclimate_58.73;change_54.85;environment_54.59
bn:00000704n;Accolade;award_894.82;degree_314.48;knight_132.28;ceremony_118.79;prise_111.27;trophy_111.18;medal_111.1;knighthood_106.79;bachelor_101.73;emmy_98.23;awards_96.14;master_83.35;winner_73.4;category_72.18
bn:00000717n;Accompaniment;chord_259.95;instrument_252.96;music_235.81;jazz_233.46;accompaniment_221.95;melody_182.01;banjo_152.6;band_141.38;bass_125.92;bluegrass_110.63;play_104.75;solo_99.56;waldron_95.62;accordion_83.85
bn:00000722n;Accomplice;chikatilo_216.71;shakur_212.59;crime_159.49;accomplice_112.13;murder_89.87;accessory_82.22;commit_79.22;offence_64.28;criminal_61.01;trial_49.91;act_48.62;person_48.16;defendant_47.43;execution_46.71
bn:00000725n;Skill;skill_668.73;literacy_256.5;numeracy_146.32;learn_137.99;horse_115.74;competency_113.28;sword_88.65;learning_83.83;ability_76.03;leadership_74.8;workmanship_70.33;knowledge_68.61;development_66.26;remedial_65.58
bn:00000728n;Pact;treaty_1849.02;international law_200.15;state_160.65;agreement_133.34;reservation_107.47;ratify_107.21;article_98.86;party_98.41;obligation_96.23;ratification_91.59;convention_81.24;law_67.94;provision_58.3;international_56.45
bn:00000737n;Midwife;midwife_1921.02;midwifery_846.64;birth_756.61;woman_622.42;nurse_611.85;midwives_538.56;nursing_377.28;care_366.74;childbirth_308.48;prenatal_261.64;pregnancy_231.29;inuit_210.83;baby_192.12;labor_172.67
bn:00000741n;Explanation;explanation_227.58;theory_145.38;consciousness_101.54;definition_100.49;belief_76.65;science_75.24;abduction_72.45;analogy_71.96;uncertainty_69.29;proposition_60.2;justification_60.1;hypothesis_55.25;reductionism_55.18;example_54.4
bn:00000746n;Invoice;invoice_731.35;payment_237.42;customer_169.57;transaction_150.69;seller_129.3;buyer_116.95;electronic_105.13;cost_104.89;account_104.09;billing_99.03;pro forma_97.42;receivable_92.87;ehr_92.42;receipt_91.22
bn:00000748n;Ledger;account_456.8;bitcoin_420.12;ledger_403.2;debit_316.57;transaction_261.06;bitcoins_179.65;accounting_160.03;general ledger_139.26;credit_127.21;daybook_122.99;balance_107.92;a\/c_73.73;asset_72.64;record_71.67
bn:00000752n;Accounting;accounting_2373.7;financial_491.35;financial statement_329.01;accountant_246.24;audit_241.72;reporting_207.41;cost_191.6;management_166.89;auditing_155.45;auditor_151.95;lean_151.02;information_125.36;accounting standard_113.37;accountancy_105.56
bn:00000753n;Comptroller;accountant_607.72;accounting_582.64;cpa_497.12;accountants_223.99;audit_220.92;accountancy_195.95;professional_174.38;auditor_171.9;certified_164.48;certification_162.74;comptroller_141.66;confer_141.53;chartered_140.26;designatory_123.99
bn:00000765n;Accreditation;accreditation_1054.19;certification_259.57;accredit_234.79;quality_156.32;iso_131.18;healthcare_124.22;standard_122.1;organization_103.93;program_91.12;technologist_84.0;education_75.53;cql_70.05;product_63.94;management_63.92
bn:00000773n;Accrual;ipsas_350.35;accounting_202.01;accrual_161.5;cash_153.93;expense_151.63;accrue_113.71;account_112.86;revenue_107.54;accrual basis_99.26;cash basis_96.93;deferred_90.66;asset_86.22;liability_80.62;debit_71.23
bn:00000774n;Enculturation;culture_702.83;cultural_447.94;acculturation_438.79;assimilation_228.55;immigrant_215.28;anthropology_195.66;individual_179.64;language_178.7;social_167.76;behavior_142.15;aborigine_141.22;mask_141.16;theory_136.94;identity_120.09
bn:00000789n;Ace;card_2410.24;player_1051.07;ace_683.55;hand_608.43;suit_499.48;trump_475.56;deck_410.27;game_346.39;dealer_331.16;play_277.0;bid_248.79;bet_246.92;blackjack_227.66;pinochle_188.26
bn:00000790n;Adept;aunor_201.83;superstar_138.58;expert_119.24;expertise_113.13;jamelia_71.49;celebrity_70.76;mathers_63.39;adept_60.9;cruise_60.2;maven_55.67;adeptus_54.92;dawn_51.39;farr_46.62;movie_45.46
bn:00000831n;Acetaldehyde;ethanol_1334.14;alcohol_1183.86;acetaldehyde_905.35;acetic acid_404.81;ethylene_396.64;reaction_383.87;pyridine_294.02;ammonia_274.64;yeast_271.5;aldehyde_221.01;oxide_215.65;ch_200.43;fermentation_189.23;wine_189.15
bn:00000836n;Acetate;acetate_1099.62;acetic acid_435.82;ion_122.96;salt_115.93;enzyme_114.44;cellulose acetate_98.4;ester_83.82;anion_68.71;cation_65.27;compound_64.88;use_62.9;vinegar_59.71;oac_59.02;reaction_58.73
bn:00000843n;Acetone;acetone_864.22;solvent_747.32;ethanol_298.88;ketone_248.59;use_192.41;isopropyl alcohol_136.91;hydrogen peroxide_131.79;phenol_122.78;peroxide_111.42;gas_105.74;inhalant_104.73;water_93.12;alcohol_89.67;propylene glycol_85.31
bn:00000845n;Ketosis;diet_1261.07;carbohydrate_546.35;glucose_495.36;ketosis_408.29;insulin_371.52;ketogenic_371.24;diabetes_365.93;low-carbohydrate_302.27;hypoglycemia_243.26;fat_231.96;ketone body_211.69;atkins_174.93;acetone_172.09;urine_155.63
bn:00000849n;Vinegar;vinegar_1624.43;wine_781.17;cider_506.23;acetic acid_506.18;fermentation_394.26;flavor_325.85;grape_253.13;sauce_225.34;white wine_207.53;mustard_200.22;drink_197.99;soft drink_183.92;pickle_168.2;sugar_152.39
bn:00000853n;Acetylcholine;receptor_1672.78;acetylcholine_1284.29;neuron_927.15;neurotransmitter_647.99;cholinergic_412.6;ach_368.75;agonist_348.68;nicotinic_339.61;muscarinic_292.78;postsynaptic_261.47;synapse_241.74;bind_198.43;effect_194.12;gaba_186.89
bn:00000854n;Acetylene;gas_871.29;acetylene_801.94;weld_568.7;ethylene_537.1;hydrogen_454.1;carbon_437.37;oxygen_321.52;methane_260.59;nanotubes_234.75;oxide_225.31;reaction_218.65;catalyst_189.08;metal_183.11;use_174.06
bn:00000892n;Pallor;skin_260.56;anemia_216.31;embalm_167.42;blood_147.19;iron_130.31;skin color_109.28;symptom_107.89;body_101.23;deficiency_100.87;lead_97.9;exposure_82.67;cause_80.45;melanin_77.61;hemoglobin_74.19
bn:00000899n;Tetracycline;antibiotic_1032.54;tetracycline_641.42;bacterium_570.86;infection_504.46;bacterial_331.92;resistance_253.94;minocycline_248.8;cell_229.84;treatment_198.85;chloramphenicol_192.08;microglia_179.98;pneumoniae_175.14;acne_174.57;disease_169.24
bn:00000902n;Acid;acid_1417.31;reaction_555.21;sulfuric acid_475.47;water_422.93;ion_328.68;concentration_327.19;nitric acid_319.01;titration_316.72;solution_300.69;compound_298.16;ph_285.85;hydrochloric acid_268.87;neptunium_230.86;molecule_223.61
bn:00000924n;Acidosis;ph_349.35;acidosis_327.35;blood_281.21;carbon dioxide_255.44;pathology_197.22;bicarbonate_187.89;insulin_162.05;lactate_161.79;concentration_159.1;oxygen_155.4;increase_155.02;patient_149.17;urine_148.71;disease_137.06
bn:00000926n;Cheetah;cheetah_2121.5;lion_705.39;spotted hyena_477.07;hyena_457.88;cub_437.69;animal_395.1;zoo_393.64;leopard_370.68;prey_362.21;male_334.52;cat_317.2;cougar_260.64;hunting_245.7;hartebeest_241.49
bn:00000936n;Ackee;jamaican_305.18;jamaica_192.69;fruit_192.02;ackee_186.1;rambutan_96.11;african-caribbean_94.21;aril_87.69;lychee_70.47;hypoglycin_61.1;caribbean_58.79;seed_52.73;patois_46.5;sapindaceae_35.17;myrtaceae_33.77
bn:00000939n;Citation;citation_895.31;journal_281.9;paper_164.61;article_158.9;cite_154.55;style_135.6;endnote_134.42;index_133.47;publication_131.22;database_113.43;co-citation_103.87;bibliographic_102.97;author_96.55;document_96.13
bn:00000945n;Rosacea;rosacea_431.0;skin_254.4;acne_243.36;nasal_176.63;treatment_147.48;tetracycline_143.26;minocycline_140.46;vitamin_128.01;syndrome_118.27;nose_117.33;rhinoplasty_112.05;alcohol_111.99;antibiotic_104.86;uv_102.09
bn:00000951n;Acolyte;altar_491.44;priest_405.61;bishop_402.57;deacon_394.14;church_272.59;subdeacon_262.09;acolyte_254.36;clergy_212.85;ordain_196.13;ordination_185.93;rothbard_168.27;reverend_167.38;anglican_164.62;rite_164.15
bn:00000960n;Acorn;acorn_1064.57;oak_745.37;tree_301.94;tannin_258.3;quercus_215.48;fruit_198.84;squirrel_147.85;q._132.5;jay_125.62;scrub_111.1;white oak_106.7;cm_91.48;nut_83.06;ysabelle_79.66
bn:00001011n;Acquittal;jury_842.83;trial_816.09;court_539.61;case_400.06;verdict_321.89;appeal_321.79;acquittal_311.41;shakur_294.03;defendant_278.18;judge_261.13;prosecution_257.68;evidence_222.02;megrahi_218.59;juror_174.54
bn:00001016n;Acre-foot;desalination_176.3;water_162.5;dam_91.01;acre_87.71;san joaquin river_81.25;joaquin_71.76;acre-foot_67.09;litre_60.22;river_50.13;vu_49.69;san joaquin valley_41.57;plant_40.53;owens_40.35;cubic metre_36.77
bn:00001035n;Acrobatics;circus_876.08;acrobatic_237.09;clown_235.66;acrobatics_194.68;acrobat_171.65;gymnast_142.46;perform_129.26;gymnastics_126.6;acro_100.83;routine_94.73;performance_79.89;matilda_73.43;dance_70.23;astley_60.72
bn:00001058n;Acronym;word_1055.92;acronym_744.94;letter_573.15;apostrophe_564.36;abbreviation_432.82;example_278.79;use_275.93;plural_270.36;fuck_246.64;hyphen_191.76;noun_175.53;capitalize_147.83;spelling_140.75;language_136.68
bn:00001061n;Acropolis;acropolis_854.87;athens_434.77;parthenon_332.21;tikal_233.67;bc_232.66;city_182.97;athena_173.85;temple_169.09;greek_141.94;dion_121.35;citadel_115.66;corinth_90.15;site_88.07;century_86.24
bn:00001082n;Terrorism;terrorism_2318.21;terrorist_719.73;terror_274.96;attack_224.02;rhd_210.71;terrorist group_155.69;terrorist organization_151.02;threat_133.76;violence_132.77;cyber_120.28;terrorist attack_120.25;group_119.66;counter-terrorism_105.94;cts_105.52
bn:00001090n;Actin;actin_3081.3;protein_1577.15;filament_1239.83;myosin_871.14;cell_721.29;bind_367.61;cytoskeleton_345.91;f-actin_342.45;tropomyosin_322.52;gene_281.09;polymerization_262.15;monomer_260.02;structure_245.37;domain_239.51
bn:00001092n;Acting;actor_474.16;theater_325.12;acting_206.16;drama_182.11;pantomime_168.25;act_132.77;character_124.18;theatre_123.66;performance_97.94;reenactment_94.64;stanislavski_91.42;audience_85.58;spolin_82.92;reenactors_74.43
bn:00001151n;Activation;activation_80.95;fee_51.64;complement_43.72;consciousness_32.78;bind_32.36;molecule_29.53;pathway_28.33;c3b_27.42;nanoparticles_26.19;pld_25.41;plasma_23.3;nanoparticle_23.06;receptor_22.71;activate_22.6
bn:00001170n;Activism;activist_431.45;activism_264.43;lobbying_90.96;slacktivism_84.51;organization_79.29;lobby_63.47;anti-war_54.16;social_45.47;internet_42.21;medium_41.29;grassroots_40.1;magaoay_39.71;achmat_38.84;protest_38.32
bn:00001176n;Actor;actor_1539.21;film_1321.68;welles_992.37;cagney_690.85;bogart_607.1;gielgud_558.12;jolson_486.0;sinatra_481.17;sellers_466.33;role_456.69;tracy_411.93;keaton_405.49;olivier_393.66;coward_345.88
bn:00001190n;Statistician;statistician_415.01;statistic_178.49;statistical_155.35;calculator_129.03;statistics_120.13;lotka_62.94;fisher_50.77;mathematical_50.65;chuprov_47.07;mathematics_40.02;work_39.72;royal statistical society_35.79;kincannon_27.5;irwin_25.02
bn:00001191n;Propulsion;maglev_263.56;propulsion_193.61;vehicle_130.13;thrust_119.21;speed_112.45;ship_103.04;energy_97.29;vessel_96.83;engine_94.18;locomotion_93.28;use_91.84;propellant_91.0;drag_85.85;spacecraft_78.16
