word1, word2, Wu & Palmer, Shortest Path, Leakcock & Chodorow, gold
Jerusalem, Israel, 7.00, 8.50, 5.11, 8.46
Jerusalem, Palestinian, 2.73, 6.00, 2.47, 7.65
holy, sex, 3.08, 7.75, 4.02, 1.62
fuck, sex, 8.57, 9.50, 8.07, 9.44
football, soccer, 9.52, 9.75, 9.93, 9.03
football, basketball, 9.00, 9.50, 8.07, 6.81
football, tennis, 7.62, 8.75, 5.60, 6.63
tennis, racket, 6.00, 8.00, 4.33, 7.56
Arafat, peace, 1.43, 7.00, 3.24, 6.73
Arafat, terror, 6.15, 8.75, 5.60, 7.65
Arafat, Jackson, 8.00, 9.25, 6.98, 2.5
law, lawyer, 1.67, 7.50, 3.73, 8.38
movie, star, 5.33, 8.25, 4.69, 7.38
movie, popcorn, 3.64, 6.75, 3.03, 6.19
movie, critic, 4.44, 7.50, 3.73, 6.73
movie, theater, 6.25, 8.50, 5.11, 7.92
physics, proton, 2.22, 6.50, 2.83, 8.12
physics, chemistry, 9.00, 9.50, 8.07, 7.35
space, chemistry, 4.44, 8.75, 5.60, 4.88
alcohol, chemistry, 6.67, 9.00, 6.20, 5.54
vodka, gin, 8.89, 9.50, 8.07, 8.46
vodka, brandy, 8.89, 9.50, 8.07, 8.13
drink, car, 2.86, 7.50, 3.73, 3.04
drink, ear, 4.62, 8.25, 4.69, 1.31
drink, mouth, 5.00, 8.50, 5.11, 5.96
drink, eat, 5.00, 9.50, 8.07, 6.87
baby, mother, 7.50, 9.00, 6.20, 7.85
drink, mother, 6.15, 8.75, 5.60, 2.65
car, automobile, 10.00, 10.00, 10.00, 8.94
gem, jewel, 10.00, 10.00, 10.00, 8.96
journey, voyage, 9.52, 9.75, 9.93, 9.29
boy, lad, 9.23, 9.75, 9.93, 8.83
coast, shore, 9.09, 9.75, 9.93, 9.1
asylum, madhouse, 9.52, 9.75, 9.93, 8.87
magician, wizard, 10.00, 10.00, 10.00, 9.02
midday, noon, 10.00, 10.00, 10.00, 9.29
furnace, stove, 5.26, 7.75, 4.02, 8.79
food, fruit, 4.00, 7.75, 4.02, 7.52
bird, cock, 9.52, 9.75, 9.93, 7.1
bird, crane, 8.70, 9.25, 6.98, 7.38
tool, implement, 9.33, 9.75, 9.93, 6.46
brother, monk, 9.33, 9.75, 9.93, 6.27
crane, implement, 7.50, 9.00, 6.20, 2.69
lad, brother, 6.67, 9.00, 6.20, 4.46
journey, car, 1.05, 5.75, 2.30, 5.85
monk, oracle, 5.33, 8.25, 4.69, 5.0
cemetery, woodland, 4.29, 8.00, 4.33, 2.08
food, rooster, 2.11, 6.25, 2.64, 4.42
coast, hill, 6.67, 9.00, 6.20, 4.38
forest, graveyard, 4.29, 8.00, 4.33, 1.85
shore, woodland, 6.00, 9.00, 6.20, 3.08
monk, slave, 6.67, 9.00, 6.20, 0.92
coast, forest, 5.45, 8.75, 5.60, 3.15
lad, wizard, 6.67, 9.00, 6.20, 0.92
chord, smile, 3.75, 7.50, 3.73, 0.54
glass, magician, 4.71, 8.25, 4.69, 2.08
noon, string, 2.67, 7.25, 3.48, 0.54
rooster, voyage, 0.80, 4.25, 1.49, 0.62
money, dollar, 7.78, 9.00, 6.20, 8.42
money, cash, 8.75, 9.50, 8.07, 9.08
money, currency, 9.33, 9.75, 9.93, 9.04
money, wealth, 9.23, 9.75, 9.93, 8.27
money, property, 8.33, 9.50, 8.07, 7.57
money, possession, 7.27, 9.25, 6.98, 7.29
money, bank, 5.71, 8.50, 5.11, 8.5
money, deposit, 8.75, 9.50, 8.07, 7.73
money, withdrawal, 2.86, 7.50, 3.73, 6.88
money, laundering, 2.50, 7.00, 3.24, 5.65
money, operation, 3.33, 8.00, 4.33, 3.31
tiger, jaguar, 9.33, 9.50, 8.07, 8.0
tiger, feline, 9.29, 9.50, 8.07, 8.0
tiger, carnivore, 8.89, 9.25, 6.98, 7.08
tiger, mammal, 8.00, 8.75, 5.60, 6.85
tiger, animal, 8.00, 9.25, 6.98, 7.0
tiger, organism, 8.57, 9.50, 8.07, 4.77
tiger, fauna, 8.00, 9.25, 6.98, 5.62
tiger, zoo, 5.33, 8.25, 4.69, 5.87
psychology, psychiatry, 7.27, 8.50, 5.11, 8.08
psychology, anxiety, 2.50, 7.00, 3.24, 7.0
psychology, fear, 2.50, 7.00, 3.24, 6.85
psychology, depression, 3.53, 7.25, 3.48, 7.42
psychology, clinic, 2.35, 6.75, 3.03, 6.58
psychology, doctor, 3.33, 7.00, 3.24, 6.42
psychology, Freud, 0.95, 5.25, 2.00, 8.21
psychology, mind, 5.88, 8.50, 5.11, 7.69
psychology, health, 2.67, 7.25, 3.48, 7.23
psychology, science, 9.41, 9.75, 9.93, 6.71
psychology, discipline, 8.75, 9.50, 8.07, 5.58
psychology, cognition, 6.15, 8.75, 5.60, 7.48
planet, star, 8.57, 9.50, 8.07, 8.45
planet, constellation, 7.69, 9.25, 6.98, 8.06
planet, moon, 8.00, 9.25, 6.98, 8.08
planet, sun, 8.00, 9.25, 6.98, 8.02
planet, galaxy, 6.32, 8.25, 4.69, 8.11
planet, space, 5.33, 8.50, 5.11, 7.92
planet, astronomer, 6.15, 8.75, 5.60, 7.94
precedent, example, 9.23, 9.75, 9.93, 5.85
precedent, information, 8.33, 9.50, 8.07, 3.85
precedent, cognition, 7.27, 9.25, 6.98, 2.81
precedent, law, 9.09, 9.75, 9.93, 6.65
precedent, collection, 8.00, 9.50, 8.07, 2.5
precedent, group, 6.67, 9.25, 6.98, 1.77
precedent, antecedent, 6.15, 8.75, 5.60, 6.04
cup, coffee, 7.37, 8.75, 5.60, 6.58
cup, tableware, 8.89, 9.50, 8.07, 6.85
cup, article, 7.50, 9.00, 6.20, 2.4
cup, artifact, 7.69, 9.25, 6.98, 2.92
cup, object, 5.45, 8.75, 5.60, 3.69
cup, entity, 2.86, 8.75, 5.60, 2.15
cup, drink, 7.50, 9.00, 6.20, 7.25
cup, food, 6.67, 8.75, 5.60, 5.0
cup, substance, 5.71, 8.50, 5.11, 1.92
cup, liquid, 7.06, 8.75, 5.60, 5.9
jaguar, cat, 9.66, 9.75, 9.93, 7.42
jaguar, car, 3.33, 6.00, 2.47, 7.27
energy, secretary, 2.86, 7.50, 3.73, 1.81
secretary, senate, 1.33, 6.75, 3.03, 5.06
energy, laboratory, 3.08, 7.75, 4.02, 5.09
computer, laboratory, 4.00, 7.75, 4.02, 6.78
weapon, secret, 2.86, 7.50, 3.73, 6.06
FBI, fingerprint, 2.50, 7.00, 3.24, 6.94
FBI, investigation, 2.22, 6.50, 2.83, 8.31
investigation, effort, 8.24, 9.25, 6.98, 4.59
Mars, water, 5.00, 9.00, 6.20, 2.94
Mars, scientist, 4.71, 7.75, 4.02, 5.63
news, report, 9.23, 9.75, 9.93, 8.16
canyon, landscape, 3.53, 7.25, 3.48, 7.53
image, surface, 7.14, 9.00, 6.20, 4.56
discovery, space, 4.00, 8.50, 5.11, 6.34
water, seepage, 2.50, 7.25, 3.48, 6.56
sign, recess, 7.50, 9.50, 8.07, 2.38
Wednesday, news, 2.67, 7.25, 3.48, 2.22
mile, kilometer, 8.00, 9.25, 6.98, 8.66
computer, news, 1.67, 7.50, 3.73, 4.47
territory, surface, 6.15, 8.75, 5.60, 5.34
atmosphere, landscape, 5.00, 8.00, 4.33, 3.69
president, medal, 2.35, 7.00, 3.24, 3.0
war, troops, 3.08, 7.75, 4.02, 8.13
record, number, 9.09, 9.75, 9.93, 6.31
skin, eye, 6.67, 8.75, 5.60, 6.22
Japanese, American, 7.69, 9.25, 6.98, 6.5
theater, history, 5.00, 8.50, 5.11, 3.91
volunteer, motto, 1.54, 7.25, 3.48, 2.56
prejudice, recognition, 6.67, 8.75, 5.60, 3.0
decoration, valor, 2.67, 7.25, 3.48, 5.63
century, year, 8.33, 9.50, 8.07, 7.59
century, nation, 3.64, 8.25, 4.69, 3.16
delay, racism, 6.25, 8.50, 5.11, 1.19
delay, news, 5.33, 8.25, 4.69, 3.31
minister, party, 6.15, 8.75, 5.60, 6.63
peace, plan, 3.08, 7.75, 4.02, 4.75
minority, peace, 6.15, 8.75, 5.60, 3.69
attempt, peace, 3.08, 7.75, 4.02, 4.25
government, crisis, 5.71, 8.50, 5.11, 6.56
deployment, departure, 7.14, 9.00, 6.20, 4.25
deployment, withdrawal, 7.78, 9.00, 6.20, 5.88
energy, crisis, 6.25, 8.50, 5.11, 5.94
announcement, news, 6.67, 9.00, 6.20, 7.56
announcement, effort, 3.08, 7.75, 4.02, 2.75
stroke, hospital, 4.00, 7.50, 3.73, 7.03
disability, death, 5.33, 8.25, 4.69, 5.47
victim, emergency, 4.44, 7.75, 4.02, 6.47
treatment, recovery, 7.69, 9.25, 6.98, 7.91
journal, association, 4.00, 8.50, 5.11, 4.97
doctor, personnel, 2.67, 7.25, 3.48, 5.0
doctor, liability, 2.67, 7.25, 3.48, 5.19
liability, insurance, 6.25, 8.50, 5.11, 7.03
school, center, 8.75, 9.50, 8.07, 3.44
reason, hypertension, 5.56, 8.00, 4.33, 2.31
reason, criterion, 5.33, 8.25, 4.69, 5.91
hundred, percent, 2.50, 7.00, 3.24, 7.38
Harvard, Yale, 8.89, 9.50, 8.07, 8.13
hospital, infrastructure, 2.67, 7.25, 3.48, 4.63
death, row, 5.00, 8.25, 4.69, 5.25
death, inmate, 2.86, 7.50, 3.73, 5.03
lawyer, evidence, 1.67, 7.50, 3.73, 6.69
life, death, 8.57, 9.50, 8.07, 7.88
life, term, 8.57, 9.50, 8.07, 4.5
word, similarity, 4.55, 8.00, 4.33, 4.75
board, recommendation, 2.67, 7.25, 3.48, 4.47
governor, interview, 1.33, 6.75, 3.03, 3.25
OPEC, country, 6.25, 8.50, 5.11, 5.63
peace, atmosphere, 7.14, 9.00, 6.20, 3.69
peace, insurance, 8.24, 9.25, 6.98, 2.94
territory, kilometer, 2.50, 7.00, 3.24, 5.28
travel, activity, 6.67, 8.75, 5.60, 5.0
competition, price, 5.00, 8.25, 4.69, 6.44
consumer, confidence, 1.54, 7.25, 3.48, 4.13
consumer, energy, 3.08, 7.75, 4.02, 4.75
problem, airport, 1.33, 6.75, 3.03, 2.38
car, flight, 5.88, 8.25, 4.69, 4.94
credit, card, 6.15, 8.75, 5.60, 8.06
credit, information, 7.27, 9.25, 6.98, 5.31
hotel, reservation, 3.75, 7.50, 3.73, 8.03
grocery, money, 1.33, 6.75, 3.03, 5.94
registration, arrangement, 6.67, 9.00, 6.20, 6.0
arrangement, accommodation, 6.67, 8.50, 5.11, 5.41
month, hotel, 1.54, 7.25, 3.48, 1.81
type, kind, 9.47, 9.75, 9.93, 8.97
arrival, hotel, 4.71, 7.75, 4.02, 6.0
bed, closet, 8.42, 9.25, 6.98, 6.72
closet, clothes, 5.88, 8.25, 4.69, 8.0
situation, conclusion, 6.25, 8.50, 5.11, 4.81
situation, isolation, 7.27, 9.25, 6.98, 3.88
impartiality, interest, 4.00, 8.00, 4.33, 5.16
direction, combination, 6.67, 8.50, 5.11, 2.25
street, place, 6.15, 8.75, 5.60, 6.44
street, avenue, 9.47, 9.75, 9.93, 8.88
street, block, 6.67, 8.75, 5.60, 6.88
street, children, 4.71, 7.75, 4.02, 4.94
listing, proximity, 3.16, 7.00, 3.24, 2.56
listing, category, 3.75, 8.00, 4.33, 6.38
cell, phone, 9.00, 9.50, 8.07, 7.81
production, hike, 5.88, 8.25, 4.69, 1.75
benchmark, index, 7.69, 9.25, 6.98, 4.25
media, trading, 6.25, 8.50, 5.11, 3.88
media, gain, 5.00, 8.50, 5.11, 2.88
dividend, payment, 8.89, 9.50, 8.07, 7.63
dividend, calculation, 2.86, 7.50, 3.73, 6.48
calculation, computation, 10.00, 10.00, 10.00, 8.44
currency, market, 3.08, 7.75, 4.02, 7.5
OPEC, oil, 2.22, 6.50, 2.83, 8.59
oil, stock, 5.71, 8.00, 4.33, 6.34
announcement, production, 5.00, 8.50, 5.11, 3.38
announcement, warning, 6.15, 8.75, 5.60, 6.0
profit, warning, 2.86, 7.50, 3.73, 3.88
profit, loss, 7.06, 8.75, 5.60, 7.63
dollar, yen, 8.00, 9.25, 6.98, 7.78
dollar, buck, 10.00, 10.00, 10.00, 9.22
dollar, profit, 3.08, 7.75, 4.02, 7.38
dollar, loss, 3.33, 8.00, 4.33, 6.09
computer, software, 1.43, 7.00, 3.24, 8.5
network, hardware, 8.00, 9.25, 6.98, 8.31
phone, equipment, 8.75, 9.50, 8.07, 7.13
equipment, maker, 5.00, 8.00, 4.33, 5.91
luxury, car, 1.25, 6.50, 2.83, 6.47
five, month, 4.62, 8.25, 4.69, 3.38
report, gain, 3.64, 8.25, 4.69, 3.63
investor, earning, 0.00, 0.00, 0.00, 7.13
liquid, water, 9.23, 9.75, 9.93, 7.89
baseball, season, 2.22, 6.50, 2.83, 5.97
game, victory, 5.71, 8.50, 5.11, 7.03
game, team, 3.08, 7.75, 4.02, 7.69
marathon, sprint, 5.00, 7.50, 3.73, 7.47
game, series, 8.57, 9.50, 8.07, 6.19
game, defeat, 5.71, 8.50, 5.11, 6.97
seven, series, 3.75, 8.00, 4.33, 3.56
seafood, sea, 3.64, 8.25, 4.69, 7.47
seafood, food, 9.09, 9.75, 9.93, 8.34
seafood, lobster, 8.57, 9.50, 8.07, 8.7
lobster, food, 7.69, 9.25, 6.98, 7.81
lobster, wine, 3.75, 7.50, 3.73, 5.7
food, preparation, 5.71, 8.50, 5.11, 6.22
video, archive, 5.56, 8.00, 4.33, 6.34
start, year, 5.45, 8.75, 5.60, 4.06
start, match, 5.71, 9.25, 6.98, 4.47
game, round, 8.89, 9.50, 8.07, 5.97
boxing, round, 7.27, 8.50, 5.11, 7.61
championship, tournament, 8.57, 9.50, 8.07, 8.36
fighting, defeating, 2.86, 7.50, 3.73, 7.41
line, insurance, 7.14, 9.00, 6.20, 2.69
day, summer, 7.69, 9.25, 6.98, 3.94
summer, drought, 7.69, 9.25, 6.98, 7.16
summer, nature, 3.33, 8.00, 4.33, 5.63
day, dawn, 8.33, 9.50, 8.07, 7.53
nature, environment, 5.45, 8.75, 5.60, 8.31
environment, ecology, 9.23, 9.75, 9.93, 8.81
nature, man, 6.67, 9.25, 6.98, 6.25
man, woman, 8.33, 9.50, 8.07, 8.3
man, governor, 6.67, 9.00, 6.20, 5.25
murder, manslaughter, 9.17, 9.50, 8.07, 8.53
soap, opera, 2.35, 6.75, 3.03, 7.94
opera, performance, 3.08, 7.75, 4.02, 6.88
life, lesson, 4.29, 8.25, 4.69, 5.94
focus, life, 5.33, 8.50, 5.11, 4.06
production, crew, 3.64, 8.25, 4.69, 6.25
television, film, 7.78, 9.00, 6.20, 7.72
lover, quarrel, 4.00, 7.00, 3.24, 6.19
viewer, serial, 5.00, 7.50, 3.73, 2.97
possibility, girl, 1.67, 7.50, 3.73, 1.94
population, development, 7.27, 8.50, 5.11, 3.75
morality, importance, 6.67, 9.00, 6.20, 3.31
morality, marriage, 5.45, 8.75, 5.60, 3.69
Mexico, Brazil, 8.00, 9.00, 6.20, 7.44
gender, equality, 4.62, 8.25, 4.69, 6.41
change, attitude, 5.45, 8.75, 5.60, 5.44
family, planning, 3.08, 7.75, 4.02, 6.25
opera, industry, 2.86, 7.50, 3.73, 2.63
sugar, approach, 2.86, 7.50, 3.73, 0.88
practice, institution, 8.33, 9.50, 8.07, 3.19
ministry, culture, 5.33, 8.25, 4.69, 4.69
problem, challenge, 6.15, 8.75, 5.60, 6.75
size, prominence, 6.15, 8.75, 5.60, 5.31
country, citizen, 4.00, 7.75, 4.02, 7.31
planet, people, 2.00, 8.00, 4.33, 5.75
development, issue, 7.50, 9.25, 6.98, 3.97
experience, music, 6.15, 8.75, 5.60, 3.47
music, project, 8.00, 9.25, 6.98, 3.63
glass, metal, 5.45, 8.75, 5.60, 5.56
aluminum, metal, 9.23, 9.75, 9.93, 7.83
chance, credibility, 5.00, 8.75, 5.60, 3.88
exhibit, memorabilia, 4.29, 8.00, 4.33, 5.31
concert, virtuoso, 1.43, 7.00, 3.24, 6.81
rock, jazz, 8.57, 9.50, 8.07, 7.59
museum, theater, 6.25, 8.50, 5.11, 7.19
observation, architecture, 7.06, 8.75, 5.60, 4.38
space, world, 5.71, 9.00, 6.20, 6.53
preservation, world, 5.88, 8.50, 5.11, 6.19
admission, ticket, 5.71, 8.50, 5.11, 7.69
shower, thunderstorm, 7.00, 8.50, 5.11, 6.31
shower, flood, 6.36, 9.00, 6.20, 6.03
weather, forecast, 1.33, 6.75, 3.03, 8.34
disaster, area, 5.00, 8.00, 4.33, 6.25
governor, office, 5.26, 7.75, 4.02, 6.34
architecture, century, 3.08, 7.75, 4.02, 3.78
