"Reference","Sentence"
"en.wikipedia.org","<s> The album gave "" breaks the full length treatment"", and showcased ""their heady blend of hip-hop production aesthetics and proto-acid house grooves"". </s>"
"en.wikipedia.org","<s> Domestic dogs and certain small canids in captivity may come into oestrus more frequently, perhaps because the photoperiod stimulus breaks down under conditions of artificial lighting. </s>"
"en.wikipedia.org","<s> For example, animals undergo an ""open"" mitosis, where the nuclear envelope breaks down before the chromosomes separate, while fungi such as ""Aspergillus nidulans"" and ""Saccharomyces cerevisiae"" (yeast) undergo a ""closed"" mitosis, where chromosomes divide within an intact cell nucleus. </s>"
"en.wikipedia.org","<s> The simplest checksum algorithm is the so-called longitudinal parity check, which breaks the data into ""words"" with a fixed number ""n"" of bits, and then computes the exclusive or of all those words. </s>"
"en.wikipedia.org","<s> Everyone at the table breaks off a piece and eats it as a symbol of their unity with Christ. </s>"
"en.wikipedia.org","<s> A common but untrue belief is that the smoking of cocaine chemically breaks down tooth enamel and causes tooth decay. </s>"
"en.wikipedia.org","<s> When the Avengers and the New Avengers are fighting Skadi, the Serpent ends up joining the battle and breaks Captain America''s shield with his bare hands. </s>"
"en.wikipedia.org","<s> Xavier breaks free from imprisonment by Warskrull Prime, and is reunited with the X-Men. </s>"
"en.wikipedia.org","<s> When this happens, the coral organisms are smothered and the reef dies and ultimately breaks apart. </s>"
"en.wikipedia.org","<s> If this process happens faster than it is naturally quenched by ions recombining, the new ions multiply in successive cycles until the gas breaks down into a plasma and current flows freely in a discharge. </s>"
"en.wikipedia.org","<s> The Data Vault model is not a true 3rd normal form, and breaks some of the rules that 3NF dictates be followed. </s>"
"en.wikipedia.org","<s> Alcohol intoxication is the consequence of alcohol entering the bloodstream faster than it can be metabolized by the liver, which breaks down the ethanol into non-intoxicating byproducts. </s>"
"en.wikipedia.org","<s> However, because Dr. Fred used an imitation diamond rather than a real diamond as a power source for the time machine, the Chron-o-Johns breaks down in operation. </s>"
"en.wikipedia.org","<s> In the Old Testament story of (the Protestant Bible locates this story within the apocrypha), the account told by two witnesses breaks down when Daniel cross-examines them. </s>"
"en.wikipedia.org","<s> When Harun breaks open the chest, he finds inside it, the dead body of a young woman who had been cut into pieces. </s>"
"en.wikipedia.org","<s> This ratio is approximate, and breaks down in the macro range of the larger format (the value of formula_21 in the numerator is no longer negligible) or as distance approaches the hyperfocal distance for the smaller format (the DOF of the smaller format approaches infinity). </s>"
"en.wikipedia.org","<s> If either car goes faster than its dial-in (called breaking out), it is disqualified regardless of who has the lower elapsed time; if both cars break out, the one who breaks out by the smallest amount wins. </s>"
"en.wikipedia.org","<s> Although many of his works appeared in print while he was still a teenager, it was the publication of ""Light breaks where no sun shines"", in 1934, that caught the attention of the literary world. </s>"
"en.wikipedia.org","<s> When ""Light breaks where no sun shines"" appeared in ""The Listener"" in 1934, it caught the attention of three senior figures in literary London, T. S. Eliot, Geoffrey Grigson and Stephen Spender. </s>"
"en.wikipedia.org","<s> Emergency brakes can be applied if the train breaks the speed limit during manual control or overshoots a fixed stopping point, or if it leaves the station when the route has not been set. </s>"
"en.wikipedia.org","<s> Dubbing has been criticized for the use of TV or movie stars as voice actors (such as Ricky Martin on Disney''s ""Hercules"", or Eugenio Derbez on DreamWorks'' ""Shrek""), or for the incorrect use of local popular culture that sometimes creates unintentional jokes or breaks the feeling of the original work (such as translating Sheldon Cooper''s ""Bazinga!"" to ""¡Vacilón!""). </s>"
"en.wikipedia.org","<s> At the end of the story she spitefully abandons Donald in the desert after his car breaks down. </s>"
"en.wikipedia.org","<s> If a thing breaks , the person should not be upset, but realize it was a thing that could break. </s>"
"en.wikipedia.org","<s> As Ash heads outside, an unseen evil speeds through the forest, breaks through the doors of the cabin and descends upon him. </s>"
"en.wikipedia.org","<s> Ionizing electromagnetic radiation creates high-speed electrons in a material and breaks chemical bonds, but after these electrons collide many times with other atoms in the material eventually most of the energy is downgraded to thermal energy; this whole process happens in a tiny fraction of a second. </s>"
"en.wikipedia.org","<s> However, they tend to greatly lengthen campaigns, and make dissolving the legislature (parliamentary system) more problematic if the date should happen to fall at time when dissolution is inconvenient (e.g. when war breaks out). </s>"
"en.wikipedia.org","<s> Buchanan notes the Roman Catholic Church also focuses on issues of intention and not just breaks in historical succession. </s>"
"en.wikipedia.org","<s> The tillage of agricultural lands, which breaks up soil into finer particles, is one of the primary factors. </s>"
"en.wikipedia.org","<s> If the shooter who breaks fails to make a legal break (usually defined as at least four balls hitting cushions or an object ball being pocketed), then the opponent can call for a and become the breaker, or elect to play from the current position of the balls. </s>"
"en.wikipedia.org","<s> In some parts of Latin America, especially South America, the 1 ball often must be pocketed in the right side pocket (relative to the end of the table one breaks from), and the 15 ball must be pocketed in the other side pocket (left). </s>"
"en.wikipedia.org","<s> In North African countries (as in Latin America, but reversed), both the 1 and 15 balls must be pocketed in the sides, the 15 on the right and 1 on the left (relative to the end of the table one breaks from). </s>"
"en.wikipedia.org","<s> He breaks down in tears. </s>"
"en.wikipedia.org","<s> He breaks this figure down into three categories: Ghettoization and general privation: over 800,000; open-air shootings: over 1,300,000; extermination camps: up to 3,000,000. </s>"
"en.wikipedia.org","<s> The same night, Lee breaks into the underground base and gathers sufficient evidence to warrant Han''s arrest, but sets off an alarm while messaging Braithwaite. </s>"
"en.wikipedia.org","<s> The film then picks up with Ash becoming briefly possessed by the demon, but when day breaks the spirit is gone, and Ash is back to normal. </s>"
"en.wikipedia.org","<s> Ash blasts the harpy-like deadite with his shotgun and is hailed as a hero who has come to save the realm, at which point he breaks down and screams ""No!"" </s>"
"en.wikipedia.org","<s> It breaks down as follows (2013): </s>"
"en.wikipedia.org","<s> The fermentation preserves them and breaks down some of the complex, less flavorful proteins and fats into simpler, more flavorful ones. </s>"
"en.wikipedia.org","<s> However, Kevlar breaks down in chlorine and UV light, complicating the cleaning process. </s>"
"en.wikipedia.org","<s> Cellulose nitrate, because of its unstable chemistry, eventually breaks down, releasing nitric acid, further catalyzing the decomposition. </s>"
"en.wikipedia.org","<s> In general, decaying acetate film breaks down into acetic acid, and similar to celluloid decomposition, leads to an auto-catylictic breakdown of the base that cannot be reversed. </s>"
"en.wikipedia.org","<s> When lubrication breaks down, metal or other components can rub destructively over each other, causing heat and possibly damage or failure. </s>"
"en.wikipedia.org","<s> Chandler breaks up with girlfriend Janice (Maggie Wheeler), who frequently returns in later seasons. </s>"
"en.wikipedia.org","<s> Charlie breaks up with Ross to get back together with her ex-boyfriend. </s>"
"en.wikipedia.org","<s> This is a divide and conquer algorithm that recursively breaks down a DFT of any composite size ""N"" = ""N""1""N""2 into many smaller DFTs of sizes ""N""1 and ""N""2, along with O(""N"") multiplications by complex roots of unity traditionally called twiddle factors (after Gentleman and Sande, 1966). </s>"
"en.wikipedia.org","<s> Also, because the Cooley–Tukey algorithm breaks the DFT into smaller DFTs, it can be combined arbitrarily with any other algorithm for the DFT, such as those described below. </s>"
"en.wikipedia.org","<s> This breaks the loop and allows the algorithm to continue. </s>"
"en.wikipedia.org","<s> In response, Ermey showcased his ability to play the character, as well as demonstrating just how a Drill Instructor breaks down the individuality of new recruits, by improvising insulting dialogue towards a group of Royal Marines who were being considered for the part of background Marines. </s>"
"en.wikipedia.org","<s> As an American rescue helicopter circles the iceberg, Godzilla breaks out and heads towards a nearby Arctic military base, attacking it. </s>"
"en.wikipedia.org","<s> Unfortunately, during all this, Kong wakes up from his drunken state and breaks free from the raft. </s>"
"en.wikipedia.org","Godzilla costume as appearing to be ""crossed with Kermit the Frog"" and another sneeringly compared it to ""Godzilla vs. Gigan"", stating that it did """"everything wrong that Gigan did, and then some."""" However, most of the criticism is of the lack of actual special effects work, as most of it consists of stock footage from previous films, including ""Godzilla vs. Gigan"" and ""Ghidorah, the Three-Headed Monster"", and a few pieces of effects work has garnered praise, specifically a scene where Megalon breaks through a dam and the draining of the lake. </s>"
"en.wikipedia.org","<s> It easily breaks through the electric fence, melting the wires with its atomic breath. </s>"
"en.wikipedia.org","<s> Emiko breaks down and cries when she sees this, understanding that Serizawa will sacrifice more than his life''s work to stop Godzilla. </s>"
"en.wikipedia.org","<s> The organization breaks down into three categories spanning three different sports: </s>"
"en.wikipedia.org","<s> These pigs produced the enzyme phytase, which breaks down the indigestible phosphorus, in their saliva. </s>"
"en.wikipedia.org","<s> Google''s search engine normally accepts queries as a simple text, and breaks up the user''s text into a sequence of search terms, which will usually be words that are to occur in the results, but one can also use Boolean operators, such as: quotations marks ("") for a phrase, a prefix such as ""+"", ""-"" for qualified terms (no longer valid, the ''+'' was removed from Google on October 19, 2011), or one of several advanced operators, such as ""site:"". </s>"
"en.wikipedia.org","<s> For example, in Russian, ""Кот (NOM, animate, zero ending) ловит мышей."" (Cat catches mice) and ""Столб (NOM, inanimate, zero ending) поддерживает крышу."" (Pillar holds a roof) vs ""Петр гладит кота (ACC, animate, -a ending)."" (Peter strokes a cat) and ""Петр ломает столб (ACC, inanimate, zero ending)."" (Peter breaks a pillar). </s>"
"en.wikipedia.org","<s> Bonnie breaks her neck in the fall, killing her. </s>"
"en.wikipedia.org","<s> It is thought that the surface of Triton probably consists of a semi-transparent layer of frozen nitrogen overlying a darker substrate, which creates a kind of ""solid greenhouse effect"", heating and vaporizing nitrogen below the ice surface it until the pressure breaks the surface at the start of an eruption. </s>"
"en.wikipedia.org","<s> The difference between and is that ''br'' breaks a line without altering the semantic structure of the page, whereas ''p'' sections the page into paragraphs. </s>"
"en.wikipedia.org","<s> Eventually, Hector breaks Ajax'' spear with his sword, forcing him to give ground, and he sets the ship on fire. </s>"
"en.wikipedia.org","<s> Belgium breaks away </s>"
"en.wikipedia.org","<s> I am sure that that philosophy has a great future, it breaks through old cadres and brings things into a solution from which new crystals can be got. </s>"
"en.wikipedia.org","<s> A jump is considered a failure if the bar is dislodged by the action of the jumper whilst jumping or the jumper touches the ground or breaks the plane of the near edge of the bar before clearance . The technique one uses for the jump must be almost flawless in order to have a chance of clearing a high bar. </s>"
"en.wikipedia.org","<s> Veronica finally decides she''s had enough of J.D. and breaks up with him. </s>"
"en.wikipedia.org","<s> Because it breaks down quickly when exposed to light, it should be stored in an opaque container, and pharmaceutical formulations typically come in brown bottles that filter out light. </s>"
"en.wikipedia.org","<s> The paper breaks down IQ averages by U.S. states using the federal government''s National Assessment of Educational Progress math and reading test scores as a source. </s>"
"en.wikipedia.org","<s> When blood glucose levels fall below a certain level, the body begins to use stored sugar as an energy source through glycogenolysis, which breaks down the glycogen stored in the liver and muscles into glucose, which can then be utilized as an energy source. </s>"
"en.wikipedia.org","<s> This assumption breaks down near supermassive objects such as black holes and neutron stars due to tidal effects. </s>"
"en.wikipedia.org","<s> It also breaks down in weightless environments, because no matter what objects are compared, it will yield a balanced reading. </s>"
"en.wikipedia.org","<s> Also, if one of the insulator units in the string breaks , it can be replaced without discarding the entire string. </s>"
"en.wikipedia.org","<s> This construction has the advantage that the ceramic is under compression rather than tension, so it can withstand greater load, and that if the insulator breaks , the cable ends are still linked. </s>"
"en.wikipedia.org","<s> Jeff Rovin lists ""Intellivision"" as one of the seven major suppliers of videogames in 1982, and mentions it as ""the unchallenged king of graphics"", however stating that the controllers can be ""difficult to operate"", the fact that if a controller breaks the entire unit must be shipped off for repairs (since they did not detach at first), and that the overlays ""are sometimes so stubborn as to tempt one''s patience"" . </s>"
"en.wikipedia.org","<s> A model of performance by Campbell breaks performance into in-role and extra-role categories. </s>"
"en.wikipedia.org","<s> However, Kitty breaks up with him after the Battle of the Atom. </s>"
"en.wikipedia.org","<s> Hitler breaks the pact </s>"
"en.wikipedia.org","<s> Once I was listening to her, I think we were at lunch with Patti Smith, and I thought: ''Oh boy, if all culture breaks down, I''m following them. </s>"
"en.wikipedia.org","<s> Some scholars argue that the passage is an intrusion into the progression of Josephus'' text at the point in which it appears in the ""Antiquities"" and breaks the thread of the narrative. </s>"
"en.wikipedia.org","<s> Sullivan refuses, but on his way to his execution, he breaks down and begs for his life. </s>"
"en.wikipedia.org","<s> This law attempts to explain the distances of the planets from the Sun in a formula although ironically it breaks down for the planet Neptune which was later discovered in Berlin. </s>"
"en.wikipedia.org","<s> Her performances of ""Kozmic Blues"" and ""Work Me, Lord"" at Woodstock are notable, though her voice breaks while she sings. </s>"
"en.wikipedia.org","<s> The letter describes Dowland''s travels to various points of Western Europe, then breaks into a detailed account of his activities in Italy, along with a heartfelt denial of the charges of treason whispered against him by unknown persons. </s>"
"en.wikipedia.org","<s> Here it turns north and breaks through the North Downs at Rochester, then joins the estuary of the River Thames as its final tributary near Sheerness. </s>"
"en.wikipedia.org","<s> The ape breaks through the large gate in the wall, and storms the village, killing many natives. </s>"
"en.wikipedia.org","<s> Kong breaks free of his bonds and escapes from the theater as the screaming audience flees. </s>"
"en.wikipedia.org","<s> The creatures appearing in the film include ""Archaeopteryx"" (seen flying around Skull Island as the Venture crew arrives), ""Stegosaurus"" (the ship''s crew kill it), ""Apatosaurus"" (mauls four crew members to death), ""Megalania"" (seen climbing up to attack Jack Driscoll), ""Tyrannosaurus"" (it attacks Ann but Kong breaks its jaws), ""Teratornis"" (seen pecking at the carcass of the ""Tyrannosaurus""), ""Plesiosaurus"" (tries to strangle Kong, who slams it to the ground and kills it), and ""Pteranodon"" (the last major creature on the island that menaces Ann, but it is killed by Kong). </s>"
"en.wikipedia.org","<s> Winners are decided when a kangaroo breaks off the fight and retreats. </s>"
"en.wikipedia.org","<s> An iterative hash function breaks up a message into blocks of a fixed size and iterates over them with a compression function. </s>"
"en.wikipedia.org","<s> One katal of trypsin, for example, is that amount of trypsin which breaks a mole of peptide bonds per second under specified conditions. </s>"
"en.wikipedia.org","<s> The kilt hugs the dancer''s body from the waist down to the hipline and, from there, in response to the dancer''s movements, it breaks sharply out. </s>"
"en.wikipedia.org","<s> This definition breaks from the established use of the term libre to refer to free content and free software, where a specific threshold of permission must be reached. </s>"
"en.wikipedia.org","<s> Jupiter and the other gods come down to earth also, but they return to heaven after Jupiter breaks his nose in a great storm. </s>"
"en.wikipedia.org","<s> The only mention of a church in his Oz books is the porcelain one which the Cowardly Lion breaks in the Dainty China Country in ""The Wonderful Wizard of Oz"". </s>"
"en.wikipedia.org","<s> In cells with sufficient nutrients, protease activity is high, which breaks down cII. </s>"
"en.wikipedia.org","<s> In the second stanza he breaks into an almost fully improvised melody, which then evolves into a classic passage of Armstrong ""scat singing"". </s>"
"en.wikipedia.org","<s> His use of keyboards, live vocals and slow- motion breaks on these and future releases earned Bukem''s music the tag intelligent drum and bass. </s>"
"en.wikipedia.org","<s> In the film, she is seen as a radio and TV announcer, and is shown to love Superman, as seen when she breaks down on national TV after he dies. </s>"
"en.wikipedia.org","<s> It appears as though Luthor has died from being attacked by his monsters, after which Superman breaks the city''s glass cover, causing the ocean to destroy it. </s>"
"en.wikipedia.org","<s> However, an accidental fire breaks out in Luthor''s lab. </s>"
"en.wikipedia.org","<s> In April 2009, a preimage attack against MD5 was published that breaks MD5''s preimage resistance. </s>"
"en.wikipedia.org","<s> The quality of cleavage can be described based on how cleanly and easily the mineral breaks ; common descriptors, in order of decreasing quality, are ""perfect"", ""good"", ""distinct"", and ""poor"". </s>"
"en.wikipedia.org","<s> ""Let us imagine how many people would die if war breaks out. </s>"
"en.wikipedia.org","<s> The term Theatre of the Absurd is applied to plays written by primarily European playwrights, that express the belief that human existence has no meaning or purpose and therefore all communication breaks down. </s>"
"en.wikipedia.org","<s> This definition often breaks down since many substances in ordinary experience, such as rocks, salts, and metals, are composed of large crystalline networks of chemically bonded atoms or ions, but are not made of discrete molecules. </s>"
"en.wikipedia.org","<s> The 1927 flood proved this to be so wrong that communities threatened by the flood began to create their own levee breaks to relieve the force of the rising river. </s>"
"en.wikipedia.org","<s> By this theorem, once a star''s chemical composition and its position on the main sequence is known, so too is the star''s mass and radius. (However, it was subsequently discovered that the theorem breaks down somewhat for stars of non-uniform composition.) </s>"
"en.wikipedia.org","<s> A plasma is struck in the gas mixture using an RF power source, which breaks the gas molecules into ions. </s>"
"en.wikipedia.org","<s> The film breaks in the projector and runs out of the gate, putting an abrupt end to the film. </s>"
"en.wikipedia.org","<s> Additionally, there is a deleted scene where Galahad meets Dingo, during which she breaks out of character, turns to the camera and asks the audience if they should cut that scene. </s>"
"en.wikipedia.org","<s> Milk contains casein, a substance that breaks down in the human stomach to produce casomorphin, an opioid peptide. </s>"
"en.wikipedia.org","<s> The bridge breaks ; the tailor is swept away and nearly drowns (but for two geese, which he grabs a hold of and which fly high to safety). </s>"
"en.wikipedia.org","<s> Flashes and bursts of light can occur as the object breaks up. </s>"
"en.wikipedia.org","<s> Some of these (such as dinoflagellates) are also phytoplankton; the distinction between plants and animals often breaks down in very small organisms. </s>"
"en.wikipedia.org","<s> The design of the IPC system makes or breaks a microkernel. </s>"
"en.wikipedia.org","<s> Both have a very similar superscalar in-order dual instruction pipeline configuration, and an instruction decoder which breaks down complex instructions into simpler ones before execution. </s>"
"en.wikipedia.org","<s> Surfing breaks </s>"
"en.wikipedia.org","<s> The Margaret River area has acquired a range of synonyms for the collection of surf breaks nearby Usually significant surfing competitions concentrate their locale to ""Margarets Main Break"" (aka Surfers Point) which breaks in the vicinity of Prevelly at the mouth of Margaret River. </s>"
"en.wikipedia.org","<s> Catabolism, that breaks down organic matter and harvests energy by way of cellular respiration, and anabolism that uses energy to construct components of cells such as proteins and nucleic acids. </s>"
"en.wikipedia.org","<s> Catabolism breaks down molecules and anabolism puts them together. </s>"
"en.wikipedia.org","<s> The metabolism of glycogen is controlled by activity of phosphorylase, the enzyme that breaks down glycogen, and glycogen synthase, the enzyme that makes it. </s>"
"en.wikipedia.org","<s> If the term ""−1/2"" is omitted, the formula can be used for a function that breaks ties in favor of ones. </s>"
"en.wikipedia.org","<s> The enzyme also breaks down stored proteins into their amino acid derivatives. </s>"
"en.wikipedia.org","<s> Baba breaks this inner journey of Realization into seven stages he calls ""planes."" The whole process culminates at the seventh plane with God-realization, where the goal of life for the individual soul is reached. </s>"
"en.wikipedia.org","<s> Hitler breaks the Pact </s>"
"en.wikipedia.org","<s> After releasing a statement he said ""It really breaks my heart not to be able to perform these shows"" adding ""I will be back"". </s>"
"en.wikipedia.org","<s> While the live show is proceeding elsewhere, Heidi attempts suicide by hanging, but her weight breaks the chandelier from the ceiling and she falls through the floor. </s>"
"en.wikipedia.org","<s> Canada also breaks into the top ten largest metropolitan areas with the Toronto metropolitan area having six million citizens. </s>"
"en.wikipedia.org","<s> A gunfight breaks out between Mickey and the others. </s>"
